year_quarter,year,quarter,region_en,region_ar,classification_ar,classification_en,transaction_count,median_price,median_area,median_price_per_m2,avg_price,avg_area,total_value
202001.0,2020.0,1.0,Makkah,منطقة مكة المكرمة,تجاري,Commercial,1366,599264.0,750.0,858.0,1852217.0,2189.1,2530127896.0
202001.0,2020.0,1.0,Najran,منطقة نجران,تجاري,Commercial,322,90000.0,800.0,117.0,135877.0,966.4,43752300.0
202001.0,2020.0,1.0,Qassim,منطقة القصيم,تجاري,Commercial,564,115000.0,700.0,162.0,569612.0,3607.9,321261108.0
202001.0,2020.0,1.0,Riyadh,منطقة الرياض,تجاري,Commercial,1735,620000.0,780.0,930.0,39337918.0,3987.9,68251288053.0
202001.0,2020.0,1.0,Al Baha,منطقة الباحة,تجاري,Commercial,15,100000.0,621.0,200.0,109533.0,591.5,1643000.0
202001.0,2020.0,1.0,Tabuk,منطقة تبوك,تجاري,Commercial,613,330000.0,640.0,500.0,618966.0,728.9,379426004.0
202001.0,2020.0,1.0,Hail,منطقة حائل,تجاري,Commercial,345,200000.0,694.8,296.0,344343.0,1022.2,118798278.0
202001.0,2020.0,1.0,Al Jouf,منطقة الجوف,تجاري,Commercial,248,105000.0,630.9,164.0,222411.0,17530.2,55157931.0
202001.0,2020.0,1.0,Jazan,منطقة جازان,تجاري,Commercial,139,200000.0,680.0,251.0,288657.0,800.1,40123338.0
202001.0,2020.0,1.0,Madinah,منطقة المدينة المنورة,تجاري,Commercial,336,370000.0,629.8,664.0,891887.0,715.8,299673955.0
202001.0,2020.0,1.0,Northern Borders,منطقة الحدود الشمالية,تجاري,Commercial,202,127500.0,652.0,181.0,195268.0,685.8,39444039.0
202001.0,2020.0,1.0,Asir,منطقة عسير,تجاري,Commercial,611,100000.0,616.0,158.0,253156.0,677.8,154678543.0
202001.0,2020.0,1.0,Eastern Province,منطقة الشرقية,تجاري,Commercial,1744,322500.0,699.0,480.0,920854.0,4625.2,1605969955.0
202001.0,2020.0,1.0,Asir,منطقة عسير,زراعي,Agricultural,79,95000.0,7175.0,11.0,164924.0,16939.9,13029000.0
202001.0,2020.0,1.0,Eastern Province,منطقة الشرقية,زراعي,Agricultural,120,310500.0,1582.3,184.0,647942.0,27952.6,77753000.0
202001.0,2020.0,1.0,Hail,منطقة حائل,زراعي,Agricultural,110,100000.0,87500.0,2.0,236159.0,167107.7,25977473.0
202001.0,2020.0,1.0,Tabuk,منطقة تبوك,زراعي,Agricultural,2,645000.0,25375.0,696.0,645000.0,25375.0,1290000.0
202001.0,2020.0,1.0,Jazan,منطقة جازان,زراعي,Agricultural,39,350000.0,17670.8,45.0,1210182.0,25592.6,47197086.0
202001.0,2020.0,1.0,Al Jouf,منطقة الجوف,زراعي,Agricultural,33,100000.0,85800.0,1.0,279437.0,403885.3,9221430.0
202001.0,2020.0,1.0,Madinah,منطقة المدينة المنورة,زراعي,Agricultural,25,100000.0,30000.0,4.0,377697.0,47941.6,9442419.0
202001.0,2020.0,1.0,Qassim,منطقة القصيم,زراعي,Agricultural,103,175000.0,27450.0,10.0,670296.0,183562.3,69040441.0
202001.0,2020.0,1.0,Najran,منطقة نجران,زراعي,Agricultural,27,90000.0,50000.0,2.0,172926.0,39193.6,4669000.0
202001.0,2020.0,1.0,Al Baha,منطقة الباحة,زراعي,Agricultural,19,80000.0,2071.8,22.0,77368.0,9208.2,1470000.0
202001.0,2020.0,1.0,Riyadh,منطقة الرياض,زراعي,Agricultural,668,186250.0,5000.0,35.0,905321.0,97640.8,604754220.0
202001.0,2020.0,1.0,Makkah,منطقة مكة المكرمة,زراعي,Agricultural,37,100000.0,11380.0,9.0,450419.0,28283.4,16665501.0
202001.0,2020.0,1.0,Qassim,منطقة القصيم,سكني,Residential,6191,134000.0,500.0,267.0,245909.0,674.0,1522424094.0
202001.0,2020.0,1.0,Al Baha,منطقة الباحة,سكني,Residential,569,95000.0,600.0,160.0,144132.0,713.0,82011382.0
202001.0,2020.0,1.0,Makkah,منطقة مكة المكرمة,سكني,Residential,12081,350000.0,595.5,722.0,717903.0,1032.4,8672985867.0
202001.0,2020.0,1.0,Najran,منطقة نجران,سكني,Residential,1761,90000.0,758.5,125.0,143135.0,762.1,252060466.0
202001.0,2020.0,1.0,Eastern Province,منطقة الشرقية,سكني,Residential,8605,260000.0,500.0,500.0,477602.0,619.2,4109762822.0
202001.0,2020.0,1.0,Madinah,منطقة المدينة المنورة,سكني,Residential,3034,360000.0,524.5,800.0,536849.0,565.3,1628799949.0
202001.0,2020.0,1.0,Northern Borders,منطقة الحدود الشمالية,سكني,Residential,1767,95000.0,660.0,133.0,189064.0,686.4,334076245.0
202001.0,2020.0,1.0,Asir,منطقة عسير,سكني,Residential,5598,180000.0,600.0,280.0,324464.0,683.8,1816349089.0
202001.0,2020.0,1.0,Al Jouf,منطقة الجوف,سكني,Residential,2121,125000.0,630.0,200.0,230365.0,696.1,488604872.0
202001.0,2020.0,1.0,Jazan,منطقة جازان,سكني,Residential,1867,135000.0,630.0,203.0,242175.0,683.2,452140316.0
202001.0,2020.0,1.0,Hail,منطقة حائل,سكني,Residential,2791,200000.0,577.5,333.0,342356.0,961.4,955514743.0
202001.0,2020.0,1.0,Tabuk,منطقة تبوك,سكني,Residential,1456,220000.0,630.0,330.0,288201.0,658.7,419620789.0
202001.0,2020.0,1.0,Riyadh,منطقة الرياض,سكني,Residential,23291,260000.0,600.0,400.0,546920.0,671.6,12738304001.0
202002.0,2020.0,2.0,Makkah,منطقة مكة المكرمة,تجاري,Commercial,810,800000.0,750.0,1133.0,2253786.0,2884.6,1825566295.0
202002.0,2020.0,2.0,Al Baha,منطقة الباحة,تجاري,Commercial,6,187500.0,825.0,250.0,217500.0,796.4,1305000.0
