city,region_en,region_ar,base_year,latest_year,year_span,base_transactions,latest_transactions,base_value,latest_value,latest_median_price,latest_median_price_per_m2,transaction_cagr,value_cagr,growth_rank
الروضة,Hail,منطقة حائل,2020.0,2025.0,5.0,40,331,2244300.0,15402041.0,38000.0,72.22222222222223,0.526,0.4699,1
الكهفه,Hail,منطقة حائل,2020.0,2025.0,5.0,17,116,725000.0,4098503.0,30000.0,80.0,0.4683,0.414,2
بيش,Jazan,منطقة جازان,2020.0,2025.0,5.0,107,603,43661793.0,92077353.0,20000.0,44.44444444444444,0.4131,0.1609,3
موقق,Hail,منطقة حائل,2020.0,2025.0,5.0,86,362,6166340.0,14479116.0,32000.0,83.33333333333333,0.333,0.1862,4
الظهران,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,58,219,62175700.0,725010593.0,980000.0,950.0,0.3044,0.6343,5
الغزاله,Hail,منطقة حائل,2020.0,2025.0,5.0,111,392,6550407.0,21996229.0,45500.0,81.15765202665872,0.287,0.2741,6
سميراء,Hail,منطقة حائل,2020.0,2025.0,5.0,33,63,4614537.0,2330400.0,30000.0,45.714285714285715,0.1381,-0.1277,7
وادي الفرع,Madinah,منطقة المدينة المنورة,2020.0,2025.0,5.0,166,295,9117207.0,20386096.0,62000.0,80.97928436911488,0.1219,0.1746,8
بقعاء,Hail,منطقة حائل,2020.0,2025.0,5.0,903,1524,68955321.0,103187506.0,36000.0,50.1985262068214,0.1103,0.084,9
السليمي,Hail,منطقة حائل,2020.0,2025.0,5.0,86,143,2763625.0,5630450.0,35000.0,64.65517241379311,0.1071,0.153,10
الجبيل,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,1230,1946,1038084795.0,1706159418.0,540000.0,935.5933726223556,0.0961,0.1045,11
المذنب,Qassim,منطقة القصيم,2020.0,2025.0,5.0,830,1215,110930580.0,137224198.0,75000.0,157.35641227380015,0.0792,0.0435,12
قرية العليا,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,214,286,26881355.0,37973720.0,40000.0,62.79761904761905,0.0597,0.0715,13
الشنان,Hail,منطقة حائل,2020.0,2025.0,5.0,382,472,50036804.0,54153587.0,41950.0,41.88581112669472,0.0432,0.0159,14
الغاط,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,262,295,46004344.0,140053368.0,110000.0,158.73015873015873,0.024,0.2494,15
ضمد,Jazan,منطقة جازان,2020.0,2025.0,5.0,123,134,13598990.0,26519370.0,200000.0,343.1335173027561,0.0173,0.1429,16
الجموم,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,158,168,53579000.0,127168336.0,300000.0,339.16078545561004,0.0123,0.1887,17
