year,quarter,region_en,region_ar,transaction_count,total_value,median_price,median_price_per_m2,avg_deal_value
2020.0,1.0,Al Baha,منطقة الباحة,603,85124382.0,95000.0,155.03875968992247,141168.12935323382
2020.0,2.0,Al Baha,منطقة الباحة,302,65703000.0,150000.0,235.1851851851852,217559.6026490066
2020.0,3.0,Al Baha,منطقة الباحة,610,92693462.0,100000.0,155.0825717492384,151956.4950819672
2020.0,4.0,Al Baha,منطقة الباحة,543,90502962.0,55000.0,103.30578512396694,166672.12154696134
2021.0,1.0,Al Baha,منطقة الباحة,623,71589104.0,65000.0,111.11111111111111,114910.27929373996
2021.0,2.0,Al Baha,منطقة الباحة,592,76414352.0,55000.0,98.0010643507051,129078.2972972973
2021.0,3.0,Al Baha,منطقة الباحة,449,85380092.0,95000.0,121.93820781319066,190156.10690423162
2021.0,4.0,Al Baha,منطقة الباحة,479,87434335.0,90000.0,133.33333333333334,182535.14613778706
2022.0,1.0,Al Baha,منطقة الباحة,461,63663715.0,85000.0,126.98412698412699,138099.16485900217
2022.0,2.0,Al Baha,منطقة الباحة,319,64145247.0,95000.0,129.87012987012986,201082.2789968652
2022.0,3.0,Al Baha,منطقة الباحة,408,82597943.0,99999.5,136.73655878380697,202445.9387254902
2022.0,4.0,Al Baha,منطقة الباحة,294,56000865.0,100000.0,163.2372307998083,190479.1326530612
2023.0,1.0,Al Baha,منطقة الباحة,260,56437361.0,100000.0,141.31742738589213,217066.77307692307
2023.0,2.0,Al Baha,منطقة الباحة,169,26637562.0,100000.0,142.45014245014244,157618.7100591716
2023.0,3.0,Al Baha,منطقة الباحة,344,69979255.0,107500.0,169.88991361206655,203428.06686046513
2023.0,4.0,Al Baha,منطقة الباحة,290,54967506.0,100000.0,159.2,189543.12413793104
2024.0,1.0,Al Baha,منطقة الباحة,234,38905222.0,100000.0,150.31917562739454,166261.63247863247
2024.0,2.0,Al Baha,منطقة الباحة,439,97012822.0,100000.0,155.87735569653796,220985.9271070615
2024.0,3.0,Al Baha,منطقة الباحة,304,66791810.0,150000.0,240.0,219709.90131578947
2024.0,4.0,Al Baha,منطقة الباحة,341,73195799.0,120000.0,195.9588921790629,214650.43695014663
2025.0,1.0,Al Baha,منطقة الباحة,252,73922670.0,150000.0,255.59293178482972,293343.9285714286
2025.0,3.0,Al Baha,منطقة الباحة,362,106429655.0,200000.0,324.49115233878547,294004.5718232044
2025.0,4.0,Al Baha,منطقة الباحة,253,72099048.0,200000.0,282.4858757062147,284976.4743083004
2020.0,1.0,Al Jouf,منطقة الجوف,2402,552984233.0,120000.0,192.8047839506173,230218.24854288093
2020.0,2.0,Al Jouf,منطقة الجوف,1340,405243305.0,150000.0,220.08329428423627,302420.37686567166
2020.0,3.0,Al Jouf,منطقة الجوف,1753,284042549.0,105000.0,166.66666666666666,162032.2584141472
2020.0,4.0,Al Jouf,منطقة الجوف,1933,281918100.0,80000.0,114.94252873563218,145844.85256078636
2021.0,1.0,Al Jouf,منطقة الجوف,2117,275881791.0,80000.0,113.63636363636364,130317.33160132263
2021.0,2.0,Al Jouf,منطقة الجوف,1617,210977810.0,70000.0,89.99986442332461,130474.83611626469
2021.0,3.0,Al Jouf,منطقة الجوف,1288,227470561.0,100000.0,115.62340898887169,176607.57841614907
2021.0,4.0,Al Jouf,منطقة الجوف,1210,238934392.0,100000.0,127.23231284135778,197466.4396694215
2022.0,1.0,Al Jouf,منطقة الجوف,1129,193727835.0,100000.0,133.33333333333334,171592.4136403897
2022.0,2.0,Al Jouf,منطقة الجوف,985,170818411.0,95000.0,132.38714933484837,173419.70659898478
2022.0,3.0,Al Jouf,منطقة الجوف,1003,225295396.0,100000.0,140.0560224089636,224621.53140578265
2022.0,4.0,Al Jouf,منطقة الجوف,944,225140160.0,112000.0,142.85714285714286,238495.93220338982
2023.0,1.0,Al Jouf,منطقة الجوف,812,166297372.0,100000.0,167.19321318756332,204799.71921182267
2023.0,2.0,Al Jouf,منطقة الجوف,560,115822229.53999999,100000.0,130.7494977607431,206825.40989285713
2023.0,3.0,Al Jouf,منطقة الجوف,780,168914351.77999994,100000.0,148.67507808959417,216556.8612564102
2023.0,4.0,Al Jouf,منطقة الجوف,710,152653292.0,100000.0,130.5293921986787,215004.6366197183
